Task,Answer,a,b,c,d,comment,topic,level,tags,deck
"Sure, you may take my phablet ________ you don't damage it.",3,in spite of,whatever,provided,consequently,"When we want to express a condition we usually use these linking words: as long as, provided/providing (that).  Other given linking words do not relate to the meaning of the sentence.",linking words,2, 770 ,1200 Grammer Tests
"The performance was not brilliant, but I found it _______ interesting.",1,rather,exceptionally,completely,enough,"Some words can make adjectives weaker. We call these words mitigators. Some of them are: rather, a bit, a little bit, slightly, fairly. Intensifiers like 'completely, exceptionally' are used with extreme adjectives. Remember that 'enough' goes after the adjective.",adjective,2, 771 ,1200 Grammer Tests
I don't know what is going on! Jake _____ ignored me when I tried to talk to him.,3,simple,simplier,simply,more simple,Very often we use adverbs as intensifiers. It means that they help us emphasise something. Remember that adverbs are formed by adding '-ly' or '-ily' to the adjective.,adverbs,2, 772 ,1200 Grammer Tests
Mr. Johnattan didn't mind _______ (to help) me.,4,help,helped,to help,helping,not to mind requires the Gerund. In this case the Gerund is used as the object of the verb.,gerunds and infinitives,2, 773 ,1200 Grammer Tests
There are a lot of advantages ____ working as a stewardess.,2,with,in,on,at,We should remember that some nouns are used with specific prepositions after them: 'advantage in'.,noun pluse preposition,2, 774 ,1200 Grammer Tests
_______ all our previous troubles we've got another crashing news today.,2,in fact of,in addition to,nevertheless,however,It is correct to say 'in addition to'. Other options do not relate to the meaning.,prepositions,2, 775 ,1200 Grammer Tests
Max moved into a new  place. He has to get accustomed ____ it.,1,to,for,in,with,We should remember that some adjectives are used with specific prepositions after them: 'accustomed to'.,adjective pluse preposition,2, 776 ,1200 Grammer Tests
The meeting of ______ (alumna) will be held on Saturday.,3,alumnes,alumna,alumnae,alumnaes,"There are many nouns which have Greek or Latin origin. As a rule, they keep own endings: A ALUMNA - TWO ALUMNAE",nouns,2, 777 ,1200 Grammer Tests
We live a boring life. We never go ______ .,4,where,everywhere,somewhere,anywhere,We use 'some' in positive clauses while 'any' - in negative. 'Never' refers to negative meaning.,"some,any, a lot of , many , much ,etc..",2, 778 ,1200 Grammer Tests
"If Julia _____ (to be) lucky, she ______ (to be taken) on this prestigious job.",1,is lucky/will be taken,will be lucky/will be taken,is lucky/is taken,will be lucky/is taken,When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to'),exprssing hypothetical meaninig,2, 779 ,1200 Grammer Tests
Find the correct word formation chain (noun - adjective - verb): agitation,2,agitater - agitateful - agitate,agitator - agitated - agitate,agitatian - agitated - agitize,agitator - agitative - agitate,We say 'agitator - agitated - agitate',word formation,2, 780 ,1200 Grammer Tests
Choose the sentence with the right word order,4,Who had been sleeping during the flight the man  woke up.,The man during the flight who had been sleeping woke up.,The man woke up who had been sleeping during the flight.,The man who had been sleeping during the flight woke up.,"The subject is normally placed before the predicate. Note, that very often the subject is not a single word. Here: 'The man who had been sleeping during the flight' - is the subject. Then, you should pay attention to the word order inside this phrase: the man - is on the first place and relative clause with 'who' follows it.",word order,2, 781 ,1200 Grammer Tests
The most famous carnival is celebrated in ______Brazil.,1,-,the,an,a,"The' is not used before names of countries, but there are some exceptions: the Netherlands, the Argentine, the Vatican City, the Sudan.",articles,2, 782 ,1200 Grammer Tests
Origami _________ (to be) his hobby since childhood.,2,is,has been,is being,was,The action in this sentence started in the Past (childhood) and continues in the Present. It means that he is still fond of origami. In this case we should use the Present Perfect Tense:  has/have + Verb (-ed/Past Participle),present tenses,2, 783 ,1200 Grammer Tests
Uma __________ (to visit) Moscow when she _____ (to be) young.,3,has visited / was,was visiting / had been,visited / was,had visited / had been,We use the Past Simple Tense when we talk about actions which happened at a certain time in the past. Here: when she was young.,past tenses,2, 784 ,1200 Grammer Tests
- It's so stuffy here!  - I ______ (to open) the window.,1,will open,open,am opening,am going to open,We use the Future Simple Tense when someone suggests to do something voluntarily.,future tenses,2, 785 ,1200 Grammer Tests
Unfortunately all rooms in this hostel  ____ (already / to book). We need to look for another hostel.,4,already booked,have already being booked,have already booked,have already been booked,The correct form of the Present Perfect Passive is: [have/has] + been + [verb+ -ed / Past Participle],passive voice,2, 786 ,1200 Grammer Tests
The Sumptons went on a two-month ______ to Europe and returned to New York in September.,3,voyage,journey,trip,travel,"Voyage - is a long trip, very often at sea. 'Journey' - means moving from one point to another in a vehicle (bus journey, train journey, etc.). Trip - covers the whole process (moving somewhere and back, rest, pleasure and purpose). 'Travel' - is used to talk about the activity of moving from one point to another generally (air travels has become more expensive this year)",confusing words,2, 787 ,1200 Grammer Tests
Their project ______ (is successful) very fine.,1,works out,turns up,uses up,runs over,Phrasal verb 'to work out' means 'to be successful '.,phrasal verbs,2, 788 ,1200 Grammer Tests
Choose  two forms of the verb 'to quit' according to the order: Past Simple - Past Participle,4,quited - quited,quitted - quitted,quitted - quitten,quit - quit,TO QUIT - QUIT -QUIT,irragular verbs,2, 789 ,1200 Grammer Tests
"_____ it was sunny, we took sunglasses and a parasol to shade skin from the light.",4,In order,Although,however,As,"It was sunny' is the reason why we took sunglasses and a parasol. To give a reason for a certain situation we use 'seeing that, seeing as, as, because, since' + clause. Other given linking words do not relate to the meaning of the sentence.",linking words,2, 790 ,1200 Grammer Tests
It was _______ of Laura to keep silent in response to a stranger's abuse in the subway.,1,sensible,sensitive,sentimental,sensual,"Sensitive', 'sentimental' and 'sensual' don't relate to the meaning of the sentence. In this sentence we speak about reasonable -'sensible' decision.",adjective,2, 791 ,1200 Grammer Tests
"_______ speaking, this song is utter garbage.",2,Obviously,Bluntly,Currently,Suddenly,It is correct to use the adverv 'bluntly'. It means 'direct manner of speaking'.,adverbs,2, 792 ,1200 Grammer Tests
This car needs _______ (to clean).,2,to clean,cleaning,cleans,clean,Some verbs can be used both with the Gerund and the Infinitive. But in some cases the meaning of the sentence becomes different. Compare:  needs to clean - somebody has the necessity in cleaning / the car needs cleaning - the car needs to be cleaned by somebody,gerunds and infinitives,2, 793 ,1200 Grammer Tests
Her memory ___ traveling in Europe will stay with her for a long time.,3,at,on,of,with,We should remember that some nouns are used with specific prepositions after them: 'memory of'.,noun pluse preposition,2, 794 ,1200 Grammer Tests
It's not polite to leave ________ saying goodbye.,1,without,with,after,against,It is correct to say 'without saying'. Other answers are illogical.,prepositions,2, 795 ,1200 Grammer Tests
Surely he's capable ___ winning the prize.,2,to,of,for,with,We should remember that some adjectives are used with specific prepositions after them: 'capable of'.,adjective pluse preposition,2, 796 ,1200 Grammer Tests
They watched the performance through ______ .,4,binoculares,binocularses,a binocular,binoculars,Some nouns are always plural: SCISSORS/GLASSES/TROUSERS/JEANS/SHORTS/TIGHTS/PYGAMAS/NEWS/BINOCULARS etc.,nouns,2, 797 ,1200 Grammer Tests
They have finally managed to complete the project without _____ help.,3,a few,some,any,many,We use 'some' in positive sentences and 'any' in negative ones. 'Without' refers to the negative meaning. 'Many' and 'a few' do not relate to the meaning of the sentence.,"some,any, a lot of , many , much ,etc..",2, 798 ,1200 Grammer Tests
Express disappointment with the present situation: George has to go shopping with his wife. But he doesn't want to.,3,George wishes he would go shopping with his wife.,George wished he hadn't gone shopping with his wife.,George wishes he didn't have to go shopping with his wife.,George wouldn't go shopping with his wife if he wanted.,To express disappointment with the present situation we usually use the construction [ I + wish + Past Simple]. Other answers do not relate to the meaning.,exprssing hypothetical meaninig,2, 799 ,1200 Grammer Tests
Use a suffix to form an adjective from a given word: baby,2,babylous,babyish,babyly,babyful,We say 'babyish',word formation,2, 800 ,1200 Grammer Tests
Choose the sentence with the right word order,3,"Hardly had Tom the house reached, it started to snow heavily.","Hardly Tom had reached the house, it started to snow heavily.","Hardly had Tom reached the house, it started to snow heavily.","Hardly had reached the house Tom, it started to snow heavily.",If 'hardly' goes in the beginning of the sentence we should invert subject and predicate. Compare: Tom had reached (normal word order) - had Tom reached (inverted order),word order,2, 801 ,1200 Grammer Tests
Do you know ____ girl who is standing next to Caroline?,2,-,the,a,an,We use 'the' with all kinds of nouns when we talk about definite and specific things.,articles,2, 802 ,1200 Grammer Tests
My parents ________ (to travel) since last May and they are not at home yet.,1,have been travelling,has travelled,are travelling,travel,We use the Present Perfect Continuous for actions that started in the past and continue in present. By using this tense we also emphasize the process.,present tenses,2, 803 ,1200 Grammer Tests
Charlie _______ (to come) home before Andy ________ (to finish) cooking.,3,was coming / was finishing,came / had finished,had come / finished,came / finished,The first action (Charlie had come home) happened earlier than the second one (Andy finished cooking). To show this sequence we use Past Perfect and Past Simple one after another.,past tenses,2, 804 ,1200 Grammer Tests
"Unfortunately, the disease ________ (still / to spread) during next few months.",2,will still be spread,will still be spreading,will still spread,is still be going to spread,We use the Future Continuous Tense to show that the action is developing in the present and that we expect it to continue in the future.,future tenses,2, 805 ,1200 Grammer Tests
Transfer this Active Voice sentence into the Passive one: Everyone believes that the rescue group will complete the work successfully.,3,The rescue group it is believed will complete the work successfully.,It believed that the rescue group will complete the work successfully.,It is believed that the rescue group will complete the work successfully.,It is believed that the work successfully  will complete the rescue group.,The Present Simple Passive is formed: BE + Past Participle. The correct word order is represented in answer 3.,passive voice,2, 806 ,1200 Grammer Tests
The company ________ an interesting offer to us.,2,did,made,took,gave,We say 'to make an offer',confusing words,2, 807 ,1200 Grammer Tests
Sandra always ________ (to act extra special in public) when she wears a new dress.,3,turns on,sets up,shows off,looks out for,Phrasal verb 'to show off' means 'to act extra special in public'.,phrasal verbs,2, 808 ,1200 Grammer Tests
Choose  two forms of the verb 'to spell' according to the order: Past Simple - Past Participle,3,spell - spell,spell - spelled,spelt - spelt,spole - spollen,TO SPELL - SPELT - SPELT,irragular verbs,2, 809 ,1200 Grammer Tests
"________ the traffic jams, we couldn't get there on time.",4,Although,So,Because,Because of,"Traffic jams' is the reason why we couldn't get there on time. To introduce a reason we could also use 'because'. But you should remember that after 'because' we place a clause. Linking words of reason that are followed by a noun are: owing to, due to, because of. Other given linking words do not relate to the meaning of the sentence.",linking words,2, 810 ,1200 Grammer Tests
______ friends are worse than enemies.,2,inhonest,dishonest,unhonest,non-honest,We should remember that the adjective 'honest' is used with the prefix 'dis-',adjective,2, 811 ,1200 Grammer Tests
Peter didn't hesitate even a second. He pushed the door open ________ and went outside.,1,decisively,uncertainly,shyly,suspensively,When we do something 'decisively' we do not think twice. We take the decision quickly and firmly. Other options do not relate to the meaning.,adverbs,2, 812 ,1200 Grammer Tests
"Brittany tried _______ (to learn) English, but she didn't succeed in it.",4,learns,learnt,learning,to learn,"Some verbs can be used both with the Gerund and the Infinitive. But in some cases the meaning of the sentence becomes different. Compare: she tried eating carrot jam - she experimented with the jam, but she didn't enjoy it / she tried to learn English - we start something but do not have success",gerunds and infinitives,2, 813 ,1200 Grammer Tests
This task was a piece ___ cake.,1,of,with,on,at,We should remember that some nouns are used with specific prepositions after them: 'piece of'. Idiom 'to be a piece of cake' means 'to be easy to do something'.,noun pluse preposition,2, 814 ,1200 Grammer Tests
The figure skating competition is ______  now.,2,up,underway,in,at,It is correct to say 'to be underway'.,prepositions,2, 815 ,1200 Grammer Tests
Terry is sorry ____ being rude.,4,by,at,of,for,We should remember that some adjectives are used with specific prepositions after them: 'sorry for'.,adjective pluse preposition,2, 816 ,1200 Grammer Tests
My little niece likes _________ very much.,3,fruite,fruites,fruit,fruities,There are some nouns which have the same form in the singular and in the plural: FRUIT - FRUIT (if we speak about it in general). But speaking about different types - we say: KINDS OF FRUITS.,nouns,2, 817 ,1200 Grammer Tests
"_____ men, _____ minds (idiom).",4,much/much,a little/a little,any/any,many/many,"We say 'Many men, many minds'. 'Many' is used before countable nouns. 'Much' and 'a little' - before uncountable. We use 'any' in negative and interrogative sentences.","some,any, a lot of , many , much ,etc..",2, 818 ,1200 Grammer Tests
Express regret about the past: We regret that we visited that museum.,3,We wouldn't visit that museum.,We wish we didn't visit that museum.,We wish we hadn't visited that museum.,We wouldn't have visited that museum.,When we want to show regret about the past we usually use the construction [ I + wish + Past Perfect]. Other answers do not relate to the meaning.,exprssing hypothetical meaninig,2, 819 ,1200 Grammer Tests
Form a compound adjective from two words: single + storey,1,single-storey,single-storeyed,storey-single,single-storeying,We say 'single-storey',word formation,2, 820 ,1200 Grammer Tests
Choose the sentence with the right word order,3,Never before such a beautiful place had  visited Jake.,Never before Jake had visited such a beautiful place.,Never before had Jake visited such a beautiful place.,Never before such a beautiful place Jake had  visited.,"When a sentence starts with 'never before' subject and predicate (that go after it) are usually inverted. In spoken language it is possible to use option 2, but formally it is not correct. Other answers are illogical or wrong.",word order,2, 821 ,1200 Grammer Tests
His son plays ____cello skillfully.,1,the,-,a,an,The is used before names of musical instruments.,articles,2, 822 ,1200 Grammer Tests
Paul _________ (to read) this book for over two months.,4,is reading,reads,has read,has been reading,We use the Present Perfect Continuous to emphasise the duration of the action.,present tenses,2, 823 ,1200 Grammer Tests
It ________ (to happen) last year. I ________ (to swim) in the sea when unexpectedly I _________ (to see) the burning ship.,4,had happened / was swimming / saw,was happening / was swimming / was seeing,happened / swam / saw,happened / was swimming / saw,1. 'last year' is a hint to use the Past Simple: happened. 2. For a longer action in the past we use the Past Continuous and for a short one - the Past Simple: was swimming / saw,past tenses,2, 824 ,1200 Grammer Tests
By the time Katie ______ (to leave) she ________ (to be) in Rome for a year.,2,leaves / will be,leaves / will have been,will leave / will be,will leave / will have been,When we want to show that the action will continue up until another one in the future we use the Future Perfect.,future tenses,2, 825 ,1200 Grammer Tests
The song 'I will always love you' _________(to compose) by a singer Dolly Parton in 1974.,3,composed,is composed,was composed,compose,"Sometimes we need to change a sentence from the Active Voice into the Passive Voice. We can also know a person who carries out the action. In this case we use the Passive Voice and form a sentence according to this rule:  Subject - Be+ Past Participle - Preposition 'BY' - Agent (who or what carries out the action). In this sentence the action took place at a certain time in the past, so we use the Past Simple Passive.",passive voice,2, 826 ,1200 Grammer Tests
I'm so tired. I need to ______ a walk in the park.,3,make,get,take,do,We say 'to take a walk'.,confusing words,2, 827 ,1200 Grammer Tests
________ (to be attentive to probable risk) icicles on the roof.,2,Think over,Watch out for,Stand for,Zonk out,Phrasal verb 'to watch out for' means 'to be attentive to probable risk'.,phrasal verbs,2, 828 ,1200 Grammer Tests
Choose  two forms of the verb 'to unsay' according to the order: Past Simple - Past Participle,3,unsayed - unsayed,unsode - unsode,unsaid - unsaid,unsaid - unsaiden,TO UNSAID - UNSAID,irragular verbs,2, 829 ,1200 Grammer Tests
Barbara stopped ________ to text Brian.,4,due,because of,although,so as,To text Brian' is a purpose why Barbara stopped. When we introduce a purpose we use 'in order/so as + to-infinitive' or 'so (that)/in order (that) + clause'. Other given linking words do not relate to the meaning of the sentence.,linking words,2, 830 ,1200 Grammer Tests
This green sofa is _____(cozy) than the yellow one.,4,more cozy,the most coziest,the coziest,cozier,When we compare two things or two people we use the comparative form of adjectives. We add [-er / -ier] to short adjectives.,adjective,2, 831 ,1200 Grammer Tests
"Oh, God! Do you see Mike? He looks ________ ridiculous in this yellow coat.",1,utterly,fairly,pleasantly,badly,"Utterly means 'extremely, totally, completely'. Other answers are not possible according to the meaning of the sentence.",adverbs,2, 832 ,1200 Grammer Tests
Drew offered _______ (to have) a rest.,2,have,to have,having,has,Offer requires the Infinitive.,gerunds and infinitives,2, 833 ,1200 Grammer Tests
In answer ___ his  letter of inquiry Bill was invited to an executive session.,2,for,to,on,at,We should remember that some nouns are used with specific prepositions after them: 'in answer to'.,noun pluse preposition,2, 834 ,1200 Grammer Tests
Mary is still in the hospital. But she is  ___ high spirits.,1,in,with,on,at,It is correct to say 'in high spirits'.,prepositions,2, 835 ,1200 Grammer Tests
This behaviour is very peculiar ____ Tim. He is a real rowdy.,3,for,off,to,of,We should remember that some adjectives are used with specific prepositions after them: 'peculiar to'.,adjective pluse preposition,2, 836 ,1200 Grammer Tests
Bus is a very comfortable ________ of transport.,4,meaning,mean,meant,means,There are some nouns which have the same form in the singular and in the plural: ONE MEANS - TWO MEANS,nouns,2, 837 ,1200 Grammer Tests
It was hard but we have done ______ of the work finally. Now we have less than a half.,4,a little,many,any,much,Many is used before countable nouns. 'Much' and 'a little' - before uncountable. 'A little' doesn't relate to the meaning. We use 'any' in interrogative and negative sentences.,"some,any, a lot of , many , much ,etc..",2, 838 ,1200 Grammer Tests
If  Mike_______ (to have) time he _________ (can earn) more teaching  Polish in addition to his main work.,3,would have/could earn,had had/could earn,had/could earn,had/would can earn,When we speak about imaginary situations which differ from real facts in the present we use Conditional 2: If-clause (if + Past Simple) - Main Clause (would/could + present without 'to'). The meaning of this sentence: in reality Mike doesn't have enough time to earn additional money.,exprssing hypothetical meaninig,2, 839 ,1200 Grammer Tests
Use a suffix to form a noun from a given word: refuge,1,refugee,refugion,refugist,refugent,We say 'refugee',word formation,2, 840 ,1200 Grammer Tests
Choose the sentence with the right word order,3,Andrew bought a large beautiful round aquarium yesterday.,Andrew bought a large round beautiful aquarium yesterday.,Andrew bought a beautiful large round aquarium yesterday.,Andrew bought a round beautiful large aquarium yesterday.,"When we need to use many adjectives in one sentence, they should be placed in the following order: Opinion - Size - Age - Shape - Colour - Origin - Material. 'Beautiful' is an opinion adjective, 'large' is an adjective of size, 'round' - an adjective that determines shape.",word order,2, 841 ,1200 Grammer Tests
Brianna is ___ gifted artist. We should visit her personal exhibition.,1,a,-,an,the,We use articles 'a/an' when we talk about jobs.,articles,2, 842 ,1200 Grammer Tests
This music group_______(to become) more  and more popular. It's interesting to visit their show.,4,becomes,has become,is going to become,is becoming,"In this sentence we are talking about developing situation.  So, in this case we should use the Present Continuous Tense. This Tense is formed: Auxiliary (am/is/are) + Verb-ing.",present tenses,2, 843 ,1200 Grammer Tests
"- I __________ (to wait) for your call for hours! - Sorry, I ________ (to watch) TV from 7 till 10 o'clock last night and simply  ________ (to forget) to call you.",2,waited / watched / forgot,was waiting / was watching / forgot,waited / was watching / forgot,had waited / watched / forgot,"1, 2. We use the Past Continuous to show that some action was in progress at a certain time in the past - was watching TV from 7 till 10 o'clock. 3. We use the Past Simple for actions which were finished in the past - forgot",past tenses,2, 844 ,1200 Grammer Tests
"By next October, Jill ________ (to receive) her drivers's license.",4,will be received,is going to receive,will receive,will have received,We use the Future Perfect to show that something will happen before a certain time in the future.,future tenses,2, 845 ,1200 Grammer Tests
Transfer this Active Voice sentence into the Passive one: Everyone expects him to win the race.,2,He expects to win the race.,He is expected to win the race.,He has been expected to win the race.,He had been expected to win the race.,"The construction [subject + passive + to-infinitive] is used to talk about people's opinions in general and to report an event. As the active sentence was formed with the Present Simple, we use the same tense in the passive one: [is/are + Past Participle]",passive voice,2, 846 ,1200 Grammer Tests
"___ an actor, John wants to play on stage naturally. He never misses rehearsals.",2,Such,As,Like,Likely,Like means 'similar to'. It would mean that the speaker is not an actor. 'As an actor' means 'being an actor'.,confusing words,2, 847 ,1200 Grammer Tests
"_________ (to become calm, quiet and cool off) and tell me what’s happened?",4,Turn down,Go down,Run down,Quiet down,"Phrasal verb 'to quiet down' means 'to become calm, quiet and cool off'.",phrasal verbs,2, 848 ,1200 Grammer Tests
Choose two forms of the verb 'to shine' according to the order: Past Simple - Past Participle,2,shined - shined,shone - shone,shone -shonen,shone - shinen,TO SHINE - SHONE - SHONE,irragular verbs,2, 849 ,1200 Grammer Tests
Carla was inattentive _________ she had a car accident.,2,because of,so,due to,even though,"When we talk about a result we use 'so, therefore, as a result, for this reason'. Notice that they are usually come at the beginning of the sentence but it is possible for 'so' and ' therefore' to take also a middle position. Other given linking words do not relate to the meaning of the sentence.",linking words,2, 850 ,1200 Grammer Tests
The red car is ________ more expensive than the black one.,4,very,pretty,fairly,slightly,"We can use mitigators 'slightly, rather, a bit, a little bit' with comparative adjectives.",adjective,2, 851 ,1200 Grammer Tests
The problem is _________ serious.,2,previously,obviously,shyly,lately,Obviously means 'clearly understood to everyone'.,adverbs,2, 852 ,1200 Grammer Tests
Carla considered ________ (to change) her job.,3,change,changed,changing,to change,Consider requires the Gerund. In this case the Gerund is used as the object of the verb.,gerunds and infinitives,2, 853 ,1200 Grammer Tests
We hope there will be an increase ____ salary soon.,3,by,of,in,at,We should remember that some nouns are used with specific prepositions after them: 'increase in'.,noun pluse preposition,2, 854 ,1200 Grammer Tests
Llama belongs _______ the camel family.,3,for,by,to,on,It is correct to say 'to belong to'.,prepositions,2, 855 ,1200 Grammer Tests
It is typical ____ her to wear far-out clothes.,1,of,for,to,on,We should remember that some adjectives are used with specific prepositions after them: 'typical of'.,adjective pluse preposition,2, 856 ,1200 Grammer Tests
Carl lives in Sydney. He is a _______ .,3,Sydneyian,Sydney,Sydney-sider,Sydneyer,Sydney (city) - Sydney-sider (a person who lives in Sydney),nouns,2, 857 ,1200 Grammer Tests
There was hardly ______ policeman on the road.,3,many,a few,any,some,We use 'any' in questions and negative sentences. 'Hardly' refers to the negative meaning.,"some,any, a lot of , many , much ,etc..",2, 858 ,1200 Grammer Tests
If I ______(to win) the lottery I _____(to give) all the money to charity.,2,will win/give,win/will give,win/give,will win/will give,When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to'),exprssing hypothetical meaninig,2, 859 ,1200 Grammer Tests
Find the correct word formation chain (noun - adjective - verb): admiration,4,admirer - admiring - admirate,admirer - admirable - admire,admiror - admiring - admire,admirer - admiring - admire,We say 'admirer - admiring - admire',word formation,2, 860 ,1200 Grammer Tests
Choose the sentence with the right word order,2,Monthly bonus it is unfair to give him.,It is unfair to give him monthly bonus again.,It is unfair him monthly bonus again to give .,To give him monthly bonus again is it unfair.,In order to avoid long complex subject sentences we usually use such a structure: [it + be + noun/ adjective + to-infinitive].,word order,2, 861 ,1200 Grammer Tests
Let's visit ____ Philippines next summer.,3,an,-,the,a,The is used before the names of countries in a plural form.,articles,2, 862 ,1200 Grammer Tests
Helga ________ (already / to write) an essay and she __________ (it / to check out) for two hours. Don't interrupt her.,4,has already been writing / has been checking it out,already writes / is checking it out,has already written / has checked it out,has already written / has been checking it out,"1. 'Already' shows us that the action is complete and we see the result in the present. This is why the Present Perfect is an appropriate tense for the first part of the sentence. 2. 'For two hours' and 'Don't interrupt her' shows that the process (has been checking it out) is still in progress. It started in the past and continues up in the present, therefore we use the Present Perfect Continuous.",present tenses,2, 863 ,1200 Grammer Tests
Julia ___(to take) a leash and ___ (to go) out to walk her dog in the park.,2,was taking/was going,took/went,had taken/had gone,has taken/has gone,When we talk about actions which happened one after the other in the past we use the Past Simple Tense.,past tenses,2, 864 ,1200 Grammer Tests
Teresa ______(to see) her son's teacher tomorrow morning.,3,will see,sees,is going to see,will have seen,If we have decided to do something or arranged to do something in the near future we use 'be going to'.,future tenses,2, 865 ,1200 Grammer Tests
Transfer this Active Voice sentence into the Passive one: Someone turned the light off.,2,The light off was turned.,The light was turned off.,The light off turned someone.,The light was turned someone off.,If there is a particle or a preposition after a verb in the Active Voice sentence than we do not omit it in the Passive one. The correct word order is represented in answer 2.,passive voice,2, 866 ,1200 Grammer Tests
Do not eat junk food ____ hamburgers and fizzy drinks.,2,as,like,as if,such,When we want to say 'for example' we can use 'like'.,confusing words,2, 867 ,1200 Grammer Tests
"______ (to visit informally, to look in), if you visit Munich! I'm always glad to see you.",2,Back up,Drop in,Call for,Come into,"Phrasal verb 'to drop in' means 'to visit informally, to look in'.",phrasal verbs,2, 868 ,1200 Grammer Tests
Choose  two forms of the verb 'to stink' according to the order: Past Simple - Past Participle,1,stank - stunk,stinked - stinked,stinkt - stunk,stanked - stunken,TO STINK - STANK - STUNK,irragular verbs,2, 869 ,1200 Grammer Tests
Bobby can stay here _______ he keeps quiet.,4,although,furthermore,however,as long as,"When we want to express a condition we usually use these linking words: as long as, provided/providing (that).  Other given linking words do not relate to the meaning of the sentence.",linking words,2, 870 ,1200 Grammer Tests
Barbara is so __________ . She thinks that she is the best and doesn't pay attention to anyone around her.,2,drastic,arrogant,broad-minded,crooked,Arrogant means 'having too much sense of self-importance'.,adjective,2, 871 ,1200 Grammer Tests
"_______ , we have lost the game and it's only our fault. I've got nothing to add.",1,Anyway,By the way,Hopefully,Personally,Anyway is the only logically correct adverb for the sentence. We use it to show that the conversation is about to finish. By using it we return to the main idea and sum it up.,adverbs,2, 872 ,1200 Grammer Tests
Tracey forgot _________ (to lock) the door. She spent the day trying to remember that fact. So she called her neighbour to ask him to check the door.,2,to lock,locking,locks,locked,Some verbs can be used both with the Gerund and the Infinitive. But in some cases the meaning of the sentence becomes different. Compare: forgot to lock - forgot that she needed to lock / forgot locking - she locked the door but she forgot that fact.,gerunds and infinitives,2, 873 ,1200 Grammer Tests
Teachers of this high school place emphasis ____ practical work.,3,in,to,on,at,We should remember that some nouns are used with specific prepositions after them: 'emphasis on'.,noun pluse preposition,2, 874 ,1200 Grammer Tests
Look! The helicopter is flying ____ us.,1,over,under,from,with,It is correct to say 'to fly over something/somebody'.,prepositions,2, 875 ,1200 Grammer Tests
Leo is eager ____ fame since childhood.,3,to,about,for,by,We should remember that some adjectives are used with specific prepositions after them: 'eager for'.,adjective pluse preposition,2, 876 ,1200 Grammer Tests
This is _____. My congratulations!,4,a great news,a great new,great new,great news,There are some nouns which are used only in a plural form: NEWS - NEWS,nouns,2, 877 ,1200 Grammer Tests
"Do you know Mr. Dickens? - Yes, I do, but I can't say _________ bad about him. He's so secretive.",2,some,anything,any,something,"We use the pronoun 'something' to refer to things in affirmative sentences, while 'anything' — in interrogative and negative ones. 'Any' and 'some' are pronouns which don't relate to the meaning of the sentence.","some,any, a lot of , many , much ,etc..",2, 878 ,1200 Grammer Tests
"If Tom__________ (to lead) a healthy life, he _____ (not to suffer) from pressure-surge problems.",2,would lead/wouldn't suffer,led/wouldn't suffer,would lead/didn't suffer,led/didn't suffer,When we speak about imaginary situations which differ from real facts in the present we use Conditional 2: If-clause (if + Past Simple) - Main Clause (would/could + present without 'to'). The meaning of this sentence: in reality Tom doesn't lead healthy life so he suffers  from pressure-surge problems.,exprssing hypothetical meaninig,2, 879 ,1200 Grammer Tests
Find the correct word formation chain (noun - adjective - verb): addiction,4,addict - addictive - to become addicting,addict - addictous - to become addicted,addictian - addictive - to become addicted,addict - addictive - to become addicted,We say 'addict - addictive - to become addicted',word formation,2, 880 ,1200 Grammer Tests
Choose the sentence with the right word order,4,I didn't like new haircut her.,Her new haircut like I didn't.,I didn't her new haircut like.,Her new haircut I didn't like.,"We can move the object to the beginning of the sentence in order to place emphasis on the certain point or idea. Here it was important for  the speaker to express his reaction to the haircut, not something else.",word order,2, 881 ,1200 Grammer Tests
____ Moon goes around ____ Earth once every twenty eight days.,2,- /-,the/the,A/the,- /the,The is used before nouns which are unique.,articles,2, 882 ,1200 Grammer Tests
"I _____ (to try) to wake up at 8 o'clock every morning, but today I ______ (to oversleep). Now I ______ (to make) up leeway.",1,try / have overslept / am making,have tried / have overslept / am making,try / have overslept / make,try / oversleep / am making,"1. 'every morning' is a mark that shows us that the action is regular. So we choose the Present Simple 2. 'Today' shows us that the time period is not over, so we choose the Present Perfect. 3. 'Now' shows that the process is developing at the moment, that is why we choose the Present Continuous.",present tenses,2, 883 ,1200 Grammer Tests
Kimberly's parents ____(to divorce) when she ___ (to be) sixteen years old.,2,have divorced / was,divorced / was,divorced / had been,had divorced / had been,We use the Past Simple Tense when we talk about actions which happened at a certain time in the past.,past tenses,2, 884 ,1200 Grammer Tests
Sandra ________ (to work) for five years for this company in October.,3,will work,is going to work,will have been working,shall work,We use the Future Perfect Continuous to concentrate on the duration of the action which may continue after the mentioned time point. Here: Sandra will probably work for the company after October. And in October she will celebrate her 5 year employee anniversary.,future tenses,2, 885 ,1200 Grammer Tests
This part of the road  ____(to repair) in three weeks.,4,is going to be repaired,is being repaired,is repaired,will be repaired,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. In this sentence we speak about the action which will be completed in the future: Will Be + Past Participle.",passive voice,2, 886 ,1200 Grammer Tests
