№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
44,cloud,cl__ __ __,"mây, đám mây",[sound:4000B1_cloud.mp3],<img src='4000B1_044.jpg'>,[klaud],<div>A {{c1::cloud}} is a group of water drops in the sky.</div>→ &nbsp;The sky was filled with white {{c1::cloud}}s.,[sound:4000B1_cloud_meaning.mp3],[sound:4000B1_cloud_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>cloud</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>cloud /klaud/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>mây, đám mây</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>đám (khói, bụi)</b></font> <ul> <li><b>a cloud of dust</b>: đám bụi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đàn, đoàn, bầy (ruồi, muỗi đang bay, ngựa đang phi...)</b></font> <ul> <li><b>a cloud of horsemen</b>: đoàn kỵ sĩ (đang phi ngựa)</li> <li><b>a cloud of flies</b>: đàn ruồi (đang bay)</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) bóng mây, bóng đen; sự buồn rầu; điều bất hạnh</b></font> <ul> <li><b>cloud of war</b>: bóng đen chiến tranh</li> <li><b>a cloud of grief</b>: bóng mây buồn; vẻ buồn phiền</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>vết vẩn đục (trong hòn ngọc...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(số nhiều) trời, bầu trời</b></font> <ul> <li><b>to sail up into the clouds</b>: bay lên trời</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to be under a cloud</i></b></font> <ul> <li><b>lâm vào hoàn cảnh đáng buồn, bị thất thế</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(từ lóng) bị tu tội</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>cloud on one's brow</i></b></font> <ul> <li><b>vẻ buồn hiện lên nét mặt</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to drop from the clouds</i></b></font> <ul> <li><b>rơi từ trên máy bay xuống</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>every cloud has a silver lining</i></b></font> <ul> <li><b>(xem) silver</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to have one's head in the clouds; to be in the clouds</i></b></font> <ul> <li><b>lúc nào cũng mơ tưởng viển vông; sống ở trên mây</b></li></ul></li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>mây che, che phủ; làm tối sầm</b></font> <ul> <li><b>the sun was clouded</b>: mặt trời bị mây che</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) làm phiền muộn, làm buồn</b></font> <ul> <li><b>a clouded countenance</b>: vẻ mặt phiền muộn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>làm vẩn đục ((nghĩa đen) &amp; (nghĩa bóng))</b></font> <ul> <li><b>to cloud someone's happiness</b>: làm vẩn đục hạnh phúc của ai</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ (up, over)</i></b> <ul> <li><font color=""#cc0000""><b>bị mây che, sầm lại ((nghĩa đen) &amp; (nghĩa bóng))</b></font> <ul> <li><b>sky clouds over</b>: bầu trời bị mây che phủ</li> <li><b>brow clouds over</b>: vầng trán sầm lại, mặt sầm lại</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
45,comprehend,c__ __p__ __ __ __d,"hiểu,&nbsp;bao gồm",[sound:4000B1_comprehend.mp3],<img src='4000B1_045.jpg'>,[ˌkɔmprɪ'hend],<div>To {{c1::comprehend}} something is to understand it.</div>→ &nbsp;Henry could not {{c1::comprehend}} the message.,[sound:4000B1_comprehend_meaning.mp3],[sound:4000B1_comprehend_example.mp3],"<li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>hiểu, lĩnh hội, nhận thức thấu đáo</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bao gồm, bao hàm</b></font></li></ul></li>",,4000 Essential English Words - Book 1::Unit 03
46,describe,"d__ __cr__ __ __,&nbsp;<div>d__ __cr__ __ __</div>","miêu tả, mô tả",[sound:4000B1_describe.mp3],<img src='4000B1_046.jpg'>,[dɪ'skraɪb],<div>To {{c1::describe}} is to say or write what someone or something is like.</div>→ &nbsp;They {{c1::described}} their tree as colorful with gold ribbon and a star.,[sound:4000B1_describe_meaning.mp3],[sound:4000B1_describe_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>describe /dis'kraib/</i><br /> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>tả, diễn tả, mô tả, miêu tả</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>vạch, vẽ</b></font> <ul> <li><b>to describe a circle with a pair of compasses</b>: vạch một vòng tròn bằng com-pa</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cho là, coi là; định rõ tính chất</b></font> <ul> <li><b>he described hinself as a doctor</b>: nó tự xưng là bác sĩ</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
47,ever,ev__ __,"Trước đến giờ, có bao giờ",[sound:4000B1_ever.mp3],<img src='4000B1_047.jpg'>,['evə],<div>{{c1::ever}} means at any time.</div>→ &nbsp;Going skiing last winter was the most fun I've {{c1::ever}} had.,[sound:4000B1_ever_meaning.mp3],[sound:4000B1_ever_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>ever /'evə/</i><br /> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>bao giờ; từ trước đến giờ; hàng, từng</b></font> <ul> <li><b>more than ever</b>: hơn bao giờ hết</li> <li><b>the best story ever heard</b>: chuyện hay nhất đã từng được nghe</li> <li><b>the greatest thinker ever</b>: nhà tư tưởng lớn nhất từ trước đến giờ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>luôn luôn, mãi mãi</b></font> <ul> <li><b>to live for ever</b>: sống mãi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thông tục) nhỉ</b></font> <ul> <li><b>what ever does he wants?</b>: nó muốn cái gì thế nhỉ?</li> <li><b>who ever can it be?</b>: ai thế nhỉ?</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>did you ever?</i></b></font> <ul> <li><b>có bao giờ anh (nghe chuyện như thế, thấy chuyện như thế) chưa?</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thế không?</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>ever had anon</i></b></font> <ul> <li><b>(xem) anon</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>ever after</i></b></font> <ul> <li><font color=""#cc0000""><b><i>ever since</i></b></font> <ul> <li><b>suốt từ đó, mãi mãi từ đó</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>ever so</i></b></font> <ul> <li><b>(thông tục) rất là, thật là, lắm, hết sức</b></li></ul></li></ul> <ul> <li><b>to be ever so happy</b>: thật là hạnh phúc</li></ul> <ul> <li><b>thank you ever so much</b>: cảm ơn anh lắm, hết sức cảm ơn anh</li></ul> <ul> <li><font color=""#cc0000""><b><i>for ever</i></b></font> <ul> <li><font color=""#cc0000""><b><i>for ever and ever</i></b></font> <ul> <li><b>mãi mãi</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>yours ever</i></b></font> <ul> <li><b>bạn thân của anh (công thức cuối thư)</b></li></ul></li></ul></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
48,fail,"f__ __ __,&nbsp;<div>f__ __ __ __d</div>",thất bại,[sound:4000B1_fail.mp3],<img src='4000B1_048.jpg'>,[feɪl],"<div>To {{c1::fail}} means you do not succeed in what you try to do.</div>→ &nbsp;Since he {{c1::failed}} to get the job, he was sad.",[sound:4000B1_fail_meaning.mp3],[sound:4000B1_fail_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>fail</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>fail /feil/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự hỏng thi</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>người thi hỏng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>without fail</i></b></font> <ul> <li><b>chắc chắn, nhất định</b></li></ul></li></ul></li></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>không nhớ, quên</b></font> <ul> <li><b>don't fail to let me know</b>: thế nào anh cũng nhớ tin cho tôi biết</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>yếu dần, mất dần, tàn dần</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>không đúng, sai</b></font> <ul> <li><b>the prophecy failed</b>: lời tiên đoán sai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thiếu</b></font> <ul> <li><b>to fail in respect for someone</b>: thiếu sự kính trọng đối với ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>không thành công, thất bại</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>trượt, hỏng thi</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bị phá sản</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>không làm tròn, không đạt</b></font> <ul> <li><b>to fail in one's duty</b>: không làm tròn nhiệm vụ</li> <li><b>to fail of one's purposes</b>: không đạt mục đích</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>hỏng, không chạy nữa</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>thiếu, không đủ</b></font> <ul> <li><b>time would fail me to tell</b>: tôi sẽ không đủ thời giờ để nói</li> <li><b>words fail me</b>: tôi không đủ lời để nói hết được, tôi không thể tả hết được</li> <li><b>the wind failed us</b>: (thuyền) chúng ta hết gió</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thất hẹn với (ai); không đáp ứng được yêu cầu của (ai)</b></font> <ul> <li><b>his memory fails him</b>: trí nhớ của anh ta kém lắm rồi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đánh trượt (một thí sinh)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
49,friendly,fr__ __ __ __ __y,thân thiện,[sound:4000B1_friendly.mp3],<img src='4000B1_049.jpg'>,['frendlɪ],"<div>{{c1::friendly}} is behaving in a pleasant, kind way toward someone.</div>→ &nbsp;The {{c1::friendly}} animals came up to the girl.",[sound:4000B1_friendly_meaning.mp3],[sound:4000B1_friendly_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>friendly /'frendli/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>thân mật, thân thiết, thân thiện</b></font> <ul> <li><b>a friendly smile</b>: một nụ cười thân mật</li> <li><b>to have friendly relations with one's neighbours</b>: có quan hệ thân mật với láng giềng của mình</li> <li><b>Friendly Society</b>: hội ái hữu</li> <li><b>a friendly match</b>: cuộc đấu giao hữu</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thuận lợi, tiện lợi</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(tôn giáo) (Friend) thuộc phái Quây-cơ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>friendly lead</i></b></font> <ul> <li><b>cuộc giải trí có quyên tiền (để giúp người nghèo ở Luân-ddôn)</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
50,grade,gr__ __ __,"mức độ, cấp độ",[sound:4000B1_grade.mp3],<img src='4000B1_050.jpg'>,[greɪd],<div>A {{c1::grade}} is a score or mark given to someone's work.</div>→ &nbsp;I managed to get good {{c1::grade}}s on my report card.,[sound:4000B1_grade_meaning.mp3],[sound:4000B1_grade_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>grade</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>grade /greid/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>(toán học) Grát</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>cấp bậc, mức, độ; hạng, loại; tầng lớp</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) điểm, điểm số (của học sinh)</b></font> <ul> <li><b>to make the grade</b>: đạt đủ điểm, đủ trình độ; thành công, thắng lợi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lớp (học)</b></font> <ul> <li><b>the fourth grade</b>: lớp bốn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>dốc; độ dốc ((nghĩa đen) &amp; (nghĩa bóng))</b></font> <ul> <li><b>on the up grade</b>: lên dốc</li> <li><b>on the down grade</b>: xuống dốc</li> <li><b>movement is on the up grade</b>: phong trào đang phát triển, phong trào đang theo hướng đi lên</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nông nghiệp) giống súc vật cải tạo (do lai giống địa phương với giống tốt hơn)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>sắp, xếp, lựa; phân loại, chia loại; phân hạng</b></font> <ul> <li><b>to grade milk</b>: phân loại sữa</li> <li><b>graded by size</b>: chia theo cỡ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sửa (độ dốc) thoai thoải</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tăng lên</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>((thường) + up) lai cải tạo (lai một giống tốt hơn)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(nghệ thuật) đánh nhạt dần (màu sắc)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) thay đổi dần dần; sắp xếp theo mức độ tăng</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
51,instead,in__ __ __ __d,"Thay cho, thay vì",[sound:4000B1_instead.mp3],<img src='4000B1_051.jpg'>,[ɪn'sted],<div>{{c1::instead}} means in place of.</div>→ &nbsp;He ate the carrot {{c1::instead}} of the ice cream.,[sound:4000B1_instead_meaning.mp3],[sound:4000B1_instead_example.mp3],"<em>instead /in'sted/<br /></em> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>để thay vào, để thế cho; đáng lẽ là</b></font> <ul> <li><b>instead of this</b>: để thế cho cái này</li> <li><b>since we had no sugar, we used honey instead</b>: vì không có đường chúng tôi dùng mật để thay thế</li> <li><b>instead of going out, he stayed at home</b>: đáng lẽ phải đi ra ngoài, hắn ta cứ ở xó nhà</li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 03
52,library,l__ __ __ __ __y,thư viện,[sound:4000B1_library.mp3],<img src='4000B1_052.jpg'>,['laɪbr(ə)rɪ],<div>A {{c1::library}} is a place where you go to read books.</div>→ &nbsp;The {{c1::library}} at school is full of books.,[sound:4000B1_library_meaning.mp3],[sound:4000B1_library_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>library /'laibrəri/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>thư viện, phòng đọc sách</b></font> <ul> <li><b>circulating library</b>: thư viện lưu động</li> <li><b>free library public library</b>: thư viện công cộng</li> <li><b>reference library</b>: thư viện tra cứu</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tủ sách</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>loại sách (có liên quan về nội dung, đóng bìa giống nhau)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
53,planet,pl__ __ __ __,hành tinh,[sound:4000B1_planet.mp3],<img src='4000B1_053.jpg'>,['plænɪt],<div>A {{c1::planet}} is a large round thing in space.</div>→ &nbsp;Saturn is the {{c1::planet}} with the ring around it.,[sound:4000B1_planet_meaning.mp3],[sound:4000B1_planet_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>planet /'plænit/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>(thiên văn học) hành tinh</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(tôn giáo) áo lễ</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 03
54,report,r__p__ __ __,"bản báo cáo, biên bản",[sound:4000B1_report.mp3],<img src='4000B1_054.jpg'>,[rɪ'pɔːt],<div>A {{c1::report}} is something students write for school.</div>→ &nbsp;Karen had trouble writing her {{c1::report}}.,[sound:4000B1_report_meaning.mp3],[sound:4000B1_report_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>bản báo cáo; biên bản</b></font> <ul> <li><b>to give a report on...</b>: báo cáo về...</li> <li><b>to make a report</b>: làm một bản báo cáo; làm biên bản</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>bản tin, bản dự báo; phiếu thành tích học tập (hằng tháng hoặc từng học kỳ của học sinh)</b></font> <ul> <li><b>weather report</b>: bản dự báo thời tiết</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tin đồn</b></font> <ul> <li><b>the report goes that... the report has it that...</b>: có tin đồn rằng...</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tiếng tăm, danh tiếng</b></font> <ul> <li><b>a man of good report</b>: một người có danh tiếng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tiếng nổ (súng...)</b></font> <ul> <li><b>the report of a gun</b>: tiếng súng nổ</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>kể lại, nói lại, thuật lại</b></font> <ul> <li><b>to report someone's words</b>: nói lại lời của ai</li> <li><b>to report a meeting</b>: thuật lại buổi mít tinh</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>báo cáo, tường trình</b></font> <ul> <li><b>to report on (upon) something</b>: báo cáo (tường trình) về vấn đề gì</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>viết phóng sự (về vấn đề gì)</b></font> <ul> <li><b>to report for a broadcast</b>: viết phóng sự cho đài phát thanh</li> <li><b>to report for a newspaper</b>: viết phóng sự cho một tờ báo</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đồn, đưa tin, nói về (ai), phát biểu về (ai)</b></font> <ul> <li><b>it is reported that</b>: người ta đồn rằng</li> <li><b>to be well reported of</b>: được tiếng tốt, được mọi người khen nhiều</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>báo, trình báo, tố cáo, tố giác</b></font> <ul> <li><b>to report an accident to the police</b>: trình báo công an một tai nạn</li> <li><b>to report someone to the police</b>: tố giác ai với công an, trình báo ai với công an</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to report onself</i></b></font> <ul> <li><b>trình diện (sau một thời gian vắng)</b></li></ul></li></ul> <ul> <li><b>to report onself to someone</b>: trình diện với ai</li></ul> <ul> <li><font color=""#cc0000""><b><i>to report work</i></b></font> <ul> <li><b>đến nhận công tác (sau khi xin được việc)</b></li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 03
